Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
הַ,ha,definite article,the,Both,prefix; doubles following letter
הָ,ha,definite article,the (before gutturals),Both,prefix variant
וְ,ve,conjunction,and,Both,inseparable prefix
וַ,va,conjunction,and (narrative past),Biblical,vav-consecutive
וָ,va,conjunction,and (before shva),Both,
בְּ,be,preposition,in / with / by,Both,inseparable prefix
בַּ,ba,preposition,in the,Both,be + ha contracted
לְ,le,preposition,to / for,Both,inseparable prefix
לַ,la,preposition,to the,Both,le + ha contracted
לָ,la,preposition,to the (variant),Both,
כְּ,ke,preposition,like / as,Both,inseparable prefix
כַּ,ka,preposition,like the,Both,ke + ha contracted
מִ,mi,preposition,from,Both,short form of מִן
מֵ,me,preposition,from (before gutturals),Both,
שֶׁ,she,conjunction,that / which / who,Both,relative pronoun prefix
