Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
אָב,av,noun,father,Both,
אֵב,ev,noun,fresh growth / bud,Biblical,"Job 8:12, Song 6:11"
אֹב,ov,noun,medium / necromancer spirit,Biblical,1 Sam 28:7
אֵד,ed,noun,mist / vapor,Biblical,Gen 2:6
אָה,ah,interjection,ah! / alas!,Biblical,cry of pain
אָהּ,ah,interjection,alas! (variant with mappiq),Biblical,
אוֹ,o,conjunction,or,Both,
אוּ,u,conjunction,or (rare variant),Biblical,poetic
אָז,az,adverb,then / at that time,Both,
אָח,ach,noun,brother,Both,also: fire-pan / hearth
אַח,ach,interjection,ah! / alas!,Biblical,exclamation
אִי,i,noun,island / coastland,Biblical,
אִי,i,interjection,woe!,Biblical,Eccl 4:10
אַךְ,ach,adverb,but / only / surely,Both,
אֵל,el,noun,God / deity,Both,
אֵל,el,preposition,to / toward,Biblical,
אַל,al,particle,do not! (negative),Both,with imperative/jussive
אִם,im,conjunction,if / whether,Both,
אֵם,em,noun,mother,Both,
אָן,an,adverb,where? / whither?,Biblical,poetic
אַף,af,noun,nose / anger,Both,
אַף,af,conjunction,also / even,Both,
אַץ,atz,verb,urged / pressed,Biblical,
אֵשׁ,esh,noun,fire,Both,
אֵת,et,noun,plowshare / iron tool,Biblical,1 Sam 13:20
אֵת,et,preposition,with,Both,
אֶת,et,particle,(direct object marker),Both,untranslated grammatical particle
אַתְּ,at,pronoun,you (f.s.),Both,
בָּא,ba,verb,came (3ms past),Both,
בֹּא,bo,verb,come! (imperative m.s.),Both,
בַּד,bad,noun,alone / part,Both,
בַּד,bad,noun,linen,Biblical,priestly garment
בַּד,bad,noun,branch / pole,Biblical,Ark poles
בָּהּ,bah,pronoun,in her,Both,
בּוֹ,bo,pronoun,in him / in it,Both,
בַּז,baz,noun,plunder / spoil,Biblical,
בָּז,baz,verb,despised,Biblical,
בִּי,bi,pronoun,in me,Both,
בִּי,bi,particle,please! / I beseech,Biblical,entreaty to a superior
בַּל,bal,adverb,not,Biblical,poetic
בֵּן,ben,noun,son,Both,
בַּר,bar,noun,son (Aramaic),Biblical,Ps 2:12; also in names (Bar-Kochba)
בַּר,bar,noun,grain / corn,Biblical,Gen 41:35
בָּר,bar,adjective,pure / clean,Biblical,Ps 24:4
בֹּר,bor,noun,cleanness / lye,Biblical,Job 9:30
בַּת,bat,noun,daughter,Both,
בַּת,bat,noun,bath (liquid measure),Biblical,~22 liters
גַּב,gav,noun,back / rim / mound,Biblical,
גָּב,gav,noun,pit / cistern,Biblical,
גַּד,gad,noun,coriander seed,Biblical,Exod 16:31
גָּד,gad,noun,fortune / luck,Biblical,also tribal name
גַּו,gav,noun,middle / interior / back,Biblical,
גֵּו,gev,noun,body / back,Biblical,poetic
גַּז,gaz,noun,fleece / mown grass,Biblical,
גָּז,gaz,verb,passed / crossed,Biblical,Ps 90:10
גַּז,gaz,noun,gas,Modern,
גַּי,gai,noun,valley,Biblical,also written גַּיְא
גַּל,gal,noun,wave / heap / spring,Both,
גָּל,gal,verb,rolled,Biblical,
גַּם,gam,adverb,also / too / even,Both,
גַּן,gan,noun,garden,Both,also kindergarten (modern)
גֵּר,ger,noun,stranger / sojourner / convert,Both,
גָּר,gar,verb,dwelt / sojourned,Biblical,
גַּת,gat,noun,winepress,Biblical,also place name Gath
דֹּב,dov,noun,bear (animal),Both,
דָּג,dag,noun,fish,Both,
דַּג,dag,noun,fish (construct/variant),Biblical,
דַּי,dai,adverb,enough / sufficient,Both,
דַּל,dal,adjective,poor / thin / weak,Both,
דָּל,dal,verb,drew up,Biblical,Isa 38:14
דָּם,dam,noun,blood,Both,
דַּן,dan,verb,judged,Biblical,also name Dan
דַּף,daf,noun,page / plank,Both,Talmudic & modern
דַּק,dak,adjective,thin / fine / crushed,Both,Exod 16:14
דֹּק,dok,noun,thin curtain / film,Biblical,Isa 40:22
דַּת,dat,noun,law / religion,Both,Persian loanword in Esther
הָא,ha,interjection,lo! / behold! / take!,Biblical,
הֵא,he,noun,the letter heh,Both,
הָהּ,hah,interjection,alas!,Biblical,
הוֹ,ho,interjection,ho! / alas!,Biblical,
הֵן,hen,particle,behold! / indeed,Biblical,
הֵן,hen,pronoun,they / them (f.pl.),Both,
הָר,har,noun,mountain,Both,
וָו,vav,noun,hook / nail,Biblical,Exod 26:32
וָו,vav,noun,the letter vav,Both,
זֵד,zed,adjective,proud / arrogant,Biblical,
זֶה,zeh,pronoun,this (m.s.),Both,
זוֹ,zo,pronoun,this (f.s.),Both,Mishnaic; also archaic
זוּ,zu,pronoun,this / who (poetic),Biblical,Ps 132:12
זַךְ,zach,adjective,pure / clean / innocent,Both,
זַן,zan,noun,kind / type / species,Both,
זַן,zan,verb,fed / sustained,Biblical,Aramaic loan
זַע,za,noun,trembling / horror,Biblical,Jer 15:4
זָר,zar,adjective,stranger / foreign,Both,
זֵר,zer,noun,wreath / crown-molding,Biblical,Exod 25:11
חָב,chav,verb,was guilty / owed,Biblical,Aramaic root; modern 'owes'
חַג,chag,noun,festival / holiday,Both,
חָג,chag,noun,festival (variant pointing),Biblical,construct form
חַד,chad,adjective,sharp / one,Both,Aramaic origin for 'one'
חָד,chad,adjective,one (Aramaic),Biblical,Aramaic in Daniel
חַי,chai,adjective,alive / living,Both,
חַי,chai,noun,life,Both,
חַל,chal,verb,began / was profaned,Biblical,
חָל,chal,verb,whirled / trembled,Biblical,
חֹל,chol,noun,sand / profane (secular),Both,
חֵל,chel,noun,rampart / fortification,Biblical,
חָם,cham,adjective,hot / warm,Both,
חָם,cham,noun,father-in-law,Biblical,
חֵן,chen,noun,grace / favor / charm,Both,
חַף,chaf,adjective,innocent / pure,Biblical,Job 33:9
חֹף,chof,noun,shore / coast,Both,
חֵץ,chetz,noun,arrow,Both,
חֹק,chok,noun,statute / decree / portion,Both,
חָר,char,verb,burned / was angry,Biblical,
טָב,tav,adjective,good,Aramaic,in Aramaic sections
טַל,tal,noun,dew,Both,
טַס,tas,noun,tray / plate,Modern,
טָס,tas,verb,flew,Modern,modern verb (past 3ms)
טַף,taf,noun,children / little ones,Both,collective
יָד,yad,noun,hand,Both,
יַד,yad,noun,hand (construct form),Both,
יָהּ,yah,noun,God (short form of YHVH),Biblical,Ps 68:5 etc.
יוֹ,yo,name element,short form of God's name,Biblical,theophoric prefix in names
יָם,yam,noun,sea / west,Both,
יָע,ya,noun,shovel,Biblical,rare; Exod 27:3
יֵשׁ,yesh,existential particle,there is / there are,Both,
כַּד,kad,noun,jar / pitcher,Both,
כֹּה,ko,adverb,thus / so / here,Both,
כִּי,ki,conjunction,because / that / when / for,Both,
כֹּל,kol,noun,all / every / everything,Both,
כָּל,kal,noun,all (construct form),Both,used before another word
כַּן,kan,noun,base / pedestal,Biblical,
כֵּן,ken,adverb,yes / so / thus,Both,
